task_name,planned_end,actual_end,percent_complete,milestone,owner
Value KPI Sign-off,2026-07-28,,0,Y,"UniSan Project Group, Zycus Product Specialist, Zycus Project Manager"
Training Phase II,2026-09-02,,0,Y,
Training Preparation,2026-08-19,,0,N,
Training Approach and Schedule finalization,2026-08-18,,0,N,"UniSan Project Manager, Zycus Project Manager, Zycus University"
Training Agenda Finalization,2026-08-19,,0,N,"UniSan Project Manager, Zycus University Trainer"
Train The Trainer,2026-09-02,,0,N,
iContract + Merlin for Contract Training,2026-08-26,,0,N,"UniSan Project Team, Zycus University Trainer"
iSource Training,2026-08-21,,0,N,"UniSan Project Team, Zycus University Trainer"
eProc Training,2026-08-28,,0,N,"UniSan Project Team, Zycus University Trainer"
eInvoice and Merlin APSD Training,2026-08-31,,0,N,"UniSan Project Team, Zycus University Trainer"
Merlin Intake,2026-08-24,,0,N,"UniSan Project Team, Zycus University Trainer"
Admin Training,2026-09-02,,0,N,"UniSan Project Team, Zycus University Trainer"
Training Completion,2026-09-02,,0,Y,
Production Migration Phase II,2026-09-07,,0,Y,
Migration of Solution from STAGING Environment to PRODUCTION,2026-09-07,,0,N,
Configuration migration to PRODUCTION - iSource and Merlin Intake,2026-08-25,,0,N,Zycus Product Specialist
"Configuration migration to PRODUCTION -  iSupplier, eProc, eInvoice and CLM",2026-08-31,,0,N,Zycus Product Specialist
Provide the final list of users to be created on PRODUCTION,2026-08-24,,0,N,"UniSan Holdings SME, UniSan Project Manager, TKC Holdings Project Team"
Creation of Specified Users as per roles,2026-08-28,,0,N,Zycus Product Specialist
Migrate integration code to Prod,2026-09-07,,0,N,UniSan Integration Team
Quality Reviews,2026-09-01,,0,N,
Schedule for quality check,2026-08-31,,0,N,Zycus Product Specialist
"Perform quality checks, PSRs as per quality checklist and submit to QC team",2026-09-01,,0,N,Zycus Product Specialist
Quality Check by Zycus QC team,2026-09-01,,0,N,Zycus Quality Team
Sanity on Production - iSource and Merlin Intake,2026-09-02,,0,Y,"UniSan IT Team, UniSan Integration Team, UniSan Project Manager, UniSan SME, UniSan Subject Matter Expert"
Go /No-go Check Point ( Meeting with UniSan) - iSource and Merlin Intake,2026-09-03,,0,Y,UniSan Project Manager
Release Zycus system to all users -  iSource and Merlin Intake,2026-09-04,,0,Y,Zycus Product Specialist
KPI Reports to be migrated on PROD,2026-09-02,,0,Y,"UniSan Project Group, Zycus Product Specialist, Zycus Project Manager"
"Sanity on Production  -  iSupplier, eProc, eInvoice and CLM",2026-09-09,,0,Y,"UniSan IT Team, UniSan Integration Team, UniSan Project Manager, UniSan SME, UniSan Subject Matter Expert"
"Go /No-go Check Point ( Meeting with UniSan)  -  iSupplier, eProc, eInvoice and CLM",2026-09-10,,0,Y,UniSan Project Manager
"Release Zycus system to all users  -  iSupplier, eProc, eInvoice and CLM",2026-09-11,,0,Y,Zycus Product Specialist
Production Go-Live Phase II,2026-09-11,,0,Y,
Hypercare Phase II,2026-10-09,,0,Y,"UniSan IT Team, UniSan Integration Team, UniSan Project Group, Zycus Consultant, Zycus Integration Team, Zycus Product Specialist, Zycus Project Manager"
